tier;score;distance;vocab_id;vocab_type;vocab_label;vocab_lang;artwork_count;edm_uri;edm_pref_label;edm_alt_label;edm_all_alts;already_in_db;notes
5;0.857;3;311172356;organisation;Kunsthandel Arti;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.83641;Kunsthandel Palotti;Palotti, Kunsthandel;Palotti, Kunsthandel;false;fuzzy token_set=85.71428571428571, ratio=85.71428571428572
5;0.914;2;311172356;organisation;Kunsthandel Arti;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.101581;Kunsthandel Artemis;Artemis, Kunsthandel;Artemis, Kunsthandel;false;fuzzy token_set=91.42857142857143, ratio=91.42857142857143
5;0.857;3;31164124;organisation;Kunsthandel Borzo;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.75734;Kunsthandel Bredow;Bredow, Kunsthandel;"Bredow, Kunsthandel; Ute-Barbara Bredow";false;fuzzy token_set=85.71428571428571, ratio=85.71428571428572
5;0.857;3;31164124;organisation;Kunsthandel Borzo;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.75734;Kunsthandel Bredow;Ute-Barbara Bredow;"Bredow, Kunsthandel; Ute-Barbara Bredow";false;fuzzy token_set=85.71428571428571, ratio=85.71428571428572
5;0.900;2;311177180;organisation;Kunsthandel De Poort;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.18261;Kunsthandel De Groot;Groot, Kunsthandel De;Groot, Kunsthandel De;false;fuzzy token_set=90.0, ratio=90.0
5;0.939;3;31164133;organisation;Kunsthandel Fetter;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.100074;Kunsthandel J.S. Fetter;Fetter, Kunsthandel J.S.;Fetter, Kunsthandel J.S.;false;fuzzy token_set=100.0, ratio=87.8048780487805
5;0.860;4;31164138;organisation;Kunsthandel G.J. Scherpel;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.9083;Kunsthandel M.J. Schretlen;Schretlen, Kunsthandel Mr. M.J.A.M.;Schretlen, Kunsthandel Mr. M.J.A.M.;false;fuzzy token_set=85.71428571428571, ratio=86.27450980392157
5;0.882;2;31164139;organisation;Kunsthandel Glass;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.83911;Kunsthandel Almas;Almas, Kunsthandel;Almas, Kunsthandel;false;fuzzy token_set=88.23529411764706, ratio=88.23529411764706
5;0.906;3;311194705;organisation;Kunsthandel Inez Stodel;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.72251;Kunsthandel J. Stodel;Stodel, Kunsthandel J.;Stodel, Kunsthandel J.;false;fuzzy token_set=94.73684210526315, ratio=86.36363636363636
5;0.906;3;311194705;organisation;Kunsthandel Inez Stodel;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.18398;Kunsthandel B. Stodel;Stodel, Kunsthandel B.;Stodel, Kunsthandel B.;false;fuzzy token_set=94.73684210526315, ratio=86.36363636363636
