id,place_name,label_en,label_nl,external_id,category,artwork_count
2307647,"Nieuwe Stadsherberg",,"Nieuwe Stadsherberg",,no_external_id__used,52
23012221,Idaho,,Idaho,,no_external_id__used,52
23012786,"Krom Boomssloot",,"Krom Boomssloot",,no_external_id__used,52
23013267,Saaihal,,Saaihal,,no_external_id__used,51
23012251,"Plantage Clevia",,"Plantage Clevia",,no_external_id__used,51
2308130,"Arti et Amicitiae",,"Arti et Amicitiae",,no_external_id__used,51
23011984,"Koffiehuis Quincampoix",,"Koffiehuis Quincampoix",,no_external_id__used,51
2307884,"Huis Ter Meer",,"Huis Ter Meer",,no_external_id__used,50
2308032,Koningsstraat,,Koningsstraat,,no_external_id__used,50
230547,Rheinberg,,Rheinberg,,no_external_id__used,50
2309243,"Taj Mahal",,"Taj Mahal",,no_external_id__used,50
2308706,Koepelkerk,,Koepelkerk,,no_external_id__used,50
2302500,Karlsruhe,,Karlsruhe,,no_external_id__used,49
2305746,Satigny,,Satigny,,no_external_id__used,49
23010664,"Paleis op de Koudenberg",,"Paleis op de Koudenberg",,no_external_id__used,49
2301003,Quatre-Bras,,Quatre-Bras,,no_external_id__used,49
2308085,Trevifontein,,Trevifontein,,no_external_id__used,49
2305914,"Athenaeum Illustre",,"Athenaeum Illustre",,no_external_id__used,48
2304907,"Halifax (Canada)",,"Halifax (Canada)",,no_external_id__used,48
2307405,Warmoesstraat,,Warmoesstraat,,no_external_id__used,48
2307287,Heiligeweg,,Heiligeweg,,no_external_id__used,48
2307331,Oudekerksplein,,Oudekerksplein,,no_external_id__used,48
23018843,"Museum Plantin-Moretus",,"Museum Plantin-Moretus",,no_external_id__used,47
23011553,"Kweekschool voor de Zeevaart",,"Kweekschool voor de Zeevaart",,no_external_id__used,47
2307652,Wittenburgergracht,,Wittenburgergracht,,no_external_id__used,47
2301161,"Sint-Michiel en Sint-Goedelekathedraal",,"Sint-Michiel en Sint-Goedelekathedraal",,no_external_id__used,47
2301570,"Indonesian Archipelago","Indonesian Archipelago","Indonesische Archipel",,no_external_id__used,47
23028878,"Villa Slingerduin",,"Villa Slingerduin",,no_external_id__used,47
23011480,"Blokhuizen in de Amstel",,"Blokhuizen in de Amstel",,no_external_id__used,46
2307457,Oostpoort,,Oostpoort,,no_external_id__used,46
2306744,"Fort Rammekens",,"Fort Rammekens",,no_external_id__used,46
2306214,Sint-Pietersberg,,Sint-Pietersberg,,no_external_id__used,45
23029667,"Welgelegen (Driebergen)",,"Welgelegen (Driebergen)",,no_external_id__used,45
2304228,Elsene,,Elsene,,no_external_id__used,45
2305772,Duins,,Duins,,no_external_id__used,45
2307268,"Hobbemastraat 20",,"Hobbemastraat 20",,no_external_id__used,45
230698,"Boyne Battlesite",,"Boyne Battlesite",,no_external_id__used,45
2307878,Baptisterium,,Baptisterium,,no_external_id__used,44
23011290,"Grote Kerk",,"Grote Kerk",,no_external_id__used,44
2307200,"Magere Brug",,"Magere Brug",,no_external_id__used,44
2307061,"Straat van Gibraltar",,"Straat van Gibraltar",,no_external_id__used,44
23012461,"Plantage Morgenstond",,"Plantage Morgenstond",,no_external_id__used,44
23019938,"Burcht Rheinfels",,"Burcht Rheinfels",,no_external_id__used,43
23012314,Aalmoezeniersweeshuis,,Aalmoezeniersweeshuis,,no_external_id__used,43
23011961,"Palazzo del Quirinale",,"Palazzo del Quirinale",,no_external_id__used,43
23025044,"Pintu Air Sepuluh Dam",,"Pintu Air Sepuluh Dam",,no_external_id__used,43
23013520,Marnixstraat,,Marnixstraat,,no_external_id__used,43
23011857,Academiegebouw,,Academiegebouw,,no_external_id__used,43
2306379,"Provence-Alpes-Côte d'Azur",,"Provence-Alpes-Côte d'Azur",,no_external_id__used,43
2307693,"Nieuwe Herengracht",,"Nieuwe Herengracht",,no_external_id__used,43
23010582,"Crevenish Island",,"Crevenish Island",,no_external_id__used,42
23015639,"Basilica van Maxentius",,"Basilica van Maxentius",,no_external_id__used,42
2303458,Maarsseveen,,Maarsseveen,,no_external_id__used,42
23015728,Raadhuisstraat,,Raadhuisstraat,,no_external_id__used,42
23010403,Buiksloterham,,Buiksloterham,,no_external_id__used,42
23012170,Oranjestraat,,Oranjestraat,,no_external_id__used,42
2307700,Zaagmolenpoort,,Zaagmolenpoort,,no_external_id__used,42
2305432,"Zeeuwsche Uytkyck",,"Zeeuwsche Uytkyck",,no_external_id__used,42
23012137,"Plantage Tourtonne",,"Plantage Tourtonne",,no_external_id__used,42
2301368,Valencia,,Valencia,,no_external_id__used,42
2307434,Spinhuis,,Spinhuis,,no_external_id__used,41
2305989,Goejanverwellesluis,,Goejanverwellesluis,,no_external_id__used,41
2308053,Amstelkerk,,Amstelkerk,,no_external_id__used,41
2309804,Rozengracht,,Rozengracht,,no_external_id__used,41
2309650,"Hooglandse kerk",,"Hooglandse kerk",,no_external_id__used,41
230786,Blenheim,,Blenheim,,no_external_id__used,41
2307430,Kattenburgerbrug,,Kattenburgerbrug,,no_external_id__used,41
2307537,"Porte Saint-Denis",,"Porte Saint-Denis",,no_external_id__used,40
2301041,Tienen,,Tienen,,no_external_id__used,40
230431,"Huis te Gennep",,"Huis te Gennep",,no_external_id__used,40
2308007,Onze-Lieve-Vrouwetoren,,Onze-Lieve-Vrouwetoren,,no_external_id__used,40
2307955,Vredenburg,,Vredenburg,,no_external_id__used,40
230772,"Landau in der Pfalz",,"Landau in der Pfalz",,no_external_id__used,40
230889,Menen,,Menen,,no_external_id__used,39
2307876,"Toren van Pisa",,"Toren van Pisa",,no_external_id__used,39
23011933,"Huis Clingendael (Den Haag)",,"Huis Clingendael (Den Haag)",,no_external_id__used,39
2309961,"Lutherse Diaconiehuis",,"Lutherse Diaconiehuis",,no_external_id__used,39
2307432,Utrechtsestraat,,Utrechtsestraat,,no_external_id__used,39
23011753,"Herberg het Moolentje",,"Herberg het Moolentje",,no_external_id__used,39
23014281,Luxortempel,,Luxortempel,,no_external_id__used,39
23012380,Kattenburgerplein,,Kattenburgerplein,,no_external_id__used,39
2307322,Binnenkant,,Binnenkant,,no_external_id__used,39
23017768,"Universiteit Utrecht",,"Universiteit Utrecht",,no_external_id__used,39
2304315,"Kali Brantas",,"Kali Brantas",,no_external_id__used,38
2304238,"Utica (New York)",,"Utica (New York)",,no_external_id__used,38
23019087,Sanssouci,,Sanssouci,,no_external_id__used,38
23014534,Vijgendam,,Vijgendam,,no_external_id__used,38
2307205,Vossiusstraat,,Vossiusstraat,,no_external_id__used,38
2307259,Eilandskerk,,Eilandskerk,,no_external_id__used,38
2308820,"Stadhouderlijk Kwartier",,"Stadhouderlijk Kwartier",,no_external_id__used,38
2307788,"Tombe van Caecilia Metella",,"Tombe van Caecilia Metella",,no_external_id__used,37
23012151,"Spin- en Nieuwe Werkhuis",,"Spin- en Nieuwe Werkhuis",,no_external_id__used,37
2308455,"Palais de Justice",,"Palais de Justice",,no_external_id__used,37
23014550,"Oudezijds Kapel",,"Oudezijds Kapel",,no_external_id__used,37
